Post_ID,Post_Text,User_Name,Followers,Following,Posts,Predicted_Label_XGBoost,Confidence_XGBoost,Predicted_Label_NN,Confidence_NN,Predicted_Label_KNN,Confidence_KNN,Agreement_XGB_NN,Agreement_XGB_KNN
1,The only tragedy is your name,call_me_c.l.e.v.e.l.a.n.d,81,127,0,Scam,0.46792200207710266,Scam,0.9999361038208008,Scam,1.0,True,True
4,Sounds like nonsense to me,Tlholeho Nkhahle,181,146,12,Real,0.8101881742477417,Scam,0.9999065399169922,Scam,1.0,False,False
8,What a nightmare,luigim_m,90,203,41,Spam,0.6213921308517456,Scam,0.6767606139183044,Scam,0.7777777777777778,False,False
10,She is such an aweful person,jman33317,102,305,5,Scam,0.43082189559936523,Bot,0.8335217833518982,Bot,1.0,False,False
11,Rude,grumps_437,18,43,2,Bot,0.5931469798088074,Scam,0.9635974168777466,Scam,1.0,False,False
12,She has misophonia,mom4life59,23,1039,41,Spam,0.5855866074562073,Bot,0.9995408058166504,Bot,1.0,False,False
13,"Said hi to a stranger, I then got shot 469 times",byron.mcb,184,472,27,Real,0.7978602051734924,Spam,0.5007615685462952,Spam,0.6666666666666666,False,False
14,Her biggest mistake is coming to this interview,pes.holic7,1030,746,0,Spam,0.676695704460144,Spam,0.5740436911582947,Spam,0.6666666666666666,True,True
17,Who would even want to touch him?,the_dutchrevert,136000,1444,558,Spam,0.9992501139640808,Spam,0.9999979734420776,Spam,1.0,True,True
18,He was a kid why she trying to put him down,hannaaevans,238,213,377,Real,0.7781275510787964,Real,0.5348504185676575,Spam,0.6666666666666666,True,False
19,Manipulative tears,danny_welch_,477,754,15,Spam,0.8396410942077637,Spam,0.8197851181030273,Spam,0.8888888888888888,True,True
20,They will never stop interrupting you,mushroom_1960,15,490,0,Bot,0.9967415928840637,Spam,0.7688789963722229,Spam,0.8888888888888888,False,False
21,She got possessed,oaltrue,336,4833,39,Real,0.9238026142120361,Real,0.9999969005584717,Real,1.0,True,True
23,He was tired of her questions,stinje,193000,2360,1477,Real,0.5766267776489258,Spam,0.9999514818191528,Spam,1.0,False,False
25,Another day felt shameful for someone else,alyr.1402,518,7482,173,Real,0.9537565112113953,Real,0.993170976638794,Bot,1.0,True,False
29,Terrible song choice,xnationsgoldenchild,508,6490,3267,Real,0.9998119473457336,Real,1.0,Real,1.0,True,True
30,All of them is also probably the dumbest answer in philosophy,1haluka,167,1304,21,Real,0.7993361353874207,Real,0.9958298802375793,Spam,0.5555555555555556,True,False
31,Its so sick,crysalexart,141000,702,1857,Spam,0.7151358723640442,Spam,0.999998927116394,Spam,1.0,True,True
35,That’s horrible,lucillehost,597,729,351,Spam,0.7189227342605591,Spam,0.6994652152061462,Spam,0.5555555555555556,True,True
38,It took me a while to figure out what song he was even singing,dasteamworks,284,818,268,Spam,0.5845606923103333,Spam,0.5461028814315796,Real,0.5555555555555556,True,False
44,Stop the madness,iamembraca,11600,165,12,Spam,0.7994208931922913,Spam,0.7477568984031677,Spam,0.6666666666666666,True,True
45,Overacting,m.mohsin.1,114,2092,17,Real,0.8566656708717346,Real,0.9998444318771362,Real,0.7777777777777778,True,True
46,Spent all that money and still looks basic,caterita79,207,2136,69,Real,0.8135802745819092,Bot,0.5208816528320312,Scam,0.7777777777777778,False,False
47,Why does she sound like shes about to cry,joannemsachse,110,185,256,Real,0.9586244225502014,Real,0.523494303226471,Spam,0.6666666666666666,True,False
51,Now you’ve ruined your career lol,ghostface319_,5,41,0,Scam,0.999693751335144,Spam,0.6456806063652039,Spam,0.8888888888888888,False,False
53,"Why are you so quiet on Sudan, Congo and Nigeria? Why do you support terrorism?",spooney100,169,576,395,Real,0.9620831608772278,Spam,0.7064903974533081,Scam,0.3333333333333333,False,False
54,"No longer a fan, bye bye!!!",jilliannfinn,661,1178,32,Real,0.9629530906677246,Real,0.9890050292015076,Real,0.6666666666666666,True,True
55,"magine saying you love abortions, what a sick comment",dani_yarll,777,795,1244,Real,0.9984188079833984,Real,0.9999486207962036,Real,1.0,True,True
56,Nobody likes your music zara,sacha_martel01,34,138,8,Real,0.7871221303939819,Real,0.6444790363311768,Spam,0.6666666666666666,True,False
57,I’m gonna take a piss on your records today,klazthebeatmaker,7437,966,1316,Real,0.9928984642028809,Real,0.9999184608459473,Real,1.0,True,True
59,i can’t believe people are still supporting her,quackhead._,705,1635,6,Real,0.9672621488571167,Real,0.999512791633606,Real,0.7777777777777778,True,True
60,What the actual fuck?,kz_rayan_,1243,539,1,Spam,0.44019317626953125,Scam,0.9723653197288513,Scam,1.0,False,False
61,The fuck,mia.ranieri,924,1230,8,Real,0.938340961933136,Real,0.9875732064247131,Spam,0.6666666666666666,True,False
62,Racist,_.loonietuunes._,426,612,29,Spam,0.8232386112213135,Scam,0.9476377964019775,Scam,1.0,False,False
63,I'm surprised you still have a career,_aries_907_,215,882,2928,Real,0.9998950958251953,Real,1.0,Real,1.0,True,True
64,Why am I still on the autistic side of instagram?..,rashanasar331,54,12,0,Bot,0.48714834451675415,Scam,0.9689291715621948,Scam,1.0,False,False
65,You are ill in the head,feefeecameron,483,1591,636,Real,0.9909951090812683,Real,0.999809205532074,Real,0.8888888888888888,True,True
66,this is incredibly offensive,amchvw,1574,1007,128,Spam,0.9524205923080444,Real,0.5413228869438171,Spam,0.6666666666666666,False,True
67,"Shame bro, shame on you",themythbehindbar,1130,341,2,Real,0.3787115812301636,Scam,0.9982683658599854,Scam,1.0,False,False
68,childish and racist and perv,inok_52_,86,370,40,Real,0.7730516791343689,Real,0.5754360556602478,Spam,0.7777777777777778,True,False
69,More racist antics.,scarredexcess,129,702,133,Real,0.6716881394386292,Spam,0.5674898028373718,Spam,0.5555555555555556,False,False
70,You are so racist idiot!!!,anonymous_kingss,38,156,1,Bot,0.6628706455230713,Scam,0.8146843314170837,Scam,1.0,False,False
71,STUPID,hunter_is_littt_,61,437,27,Real,0.5790223479270935,Scam,0.9959652423858643,Scam,1.0,False,False
72,Ye it won't be the same cuz you disgraced the country,__takuu_,205,333,5,Real,0.5398920178413391,Spam,0.5001322031021118,Spam,0.6666666666666666,False,False
73,"We, Japanese people don’t like you...we don’t appreciate that you are going back there..",mimimama0817,105,1029,1907,Real,0.9998148083686829,Real,0.9999998807907104,Real,1.0,True,True
74,*cough cough* racist,spicy._.trash,95,840,0,Bot,0.9976580142974854,Scam,0.7089816927909851,Scam,1.0,False,False
75,Yea. Bc u ruined it,ivyjosephinee,157,315,77,Real,0.6089593172073364,Scam,0.9987388253211975,Scam,1.0,False,False
76,shut up,wifey.is.myself.lol,50,75,52,Real,0.6916735768318176,Scam,0.9999662637710571,Scam,1.0,False,False
77,Youre such an idiot,belnobelle,1434,330,41,Spam,0.7893175482749939,Scam,0.9983121156692505,Scam,1.0,False,False
78,That’s quite racist,nawafxxmax1230,11,36,5,Scam,0.7796943187713623,Scam,0.9688711762428284,Scam,1.0,True,True
79,Now everyone hates you including me,molli_harrell74,831,269,38,Spam,0.7474594116210938,Scam,0.9993283748626709,Scam,1.0,False,False
80,Just showing how obnoxious and stupid you’re being such a role model to rest of the Americans. Smh,wildheartdori,381,1175,408,Real,0.9934543371200562,Real,0.9906463623046875,Real,0.6666666666666666,True,True
116,Obsessed with you,melissaarrose,5370,753,42,Spam,0.9659407138824463,Spam,0.6849309802055359,Spam,0.6666666666666666,True,True
137,Lucky you,annhernandez5701,170,4539,34,Bot,0.5132091641426086,Bot,0.999997615814209,Bot,1.0,True,True
141,Cuteness overload,derycksally,59,184,113,Real,0.7407381534576416,Real,0.6499995589256287,Spam,0.7777777777777778,True,False
